,County,State,Average Rating,Hospitals,Emergency Services,County Beds
0,LOS ANGELES,CA,2.9027777777777777,90.0,0.5833333333333334,15072.0
1,ORANGE,CA,3.1,28.0,0.9,3054.0
2,SAN BERNARDINO,CA,2.4,22.0,0.9333333333333333,3230.0
3,SAN DIEGO,CA,4.0,21.0,0.9333333333333333,4205.0
4,RIVERSIDE,CA,2.4375,17.0,0.9375,987.0
5,ALAMEDA,CA,3.1818181818181817,16.0,1.0,2480.0
6,SANTA CLARA,CA,3.111111111111111,12.0,1.0,1925.0
7,SACRAMENTO,CA,2.875,12.0,1.0,2503.0
8,SAN FRANCISCO,CA,2.888888888888889,12.0,0.8888888888888888,2599.0
9,KERN,CA,2.125,11.0,0.875,1061.0
10,SONOMA,CA,4.0,9.0,1.0,825.0
11,CONTRA COSTA,CA,3.5714285714285716,8.0,1.0,1222.0
12,VENTURA,CA,3.1666666666666665,8.0,0.8333333333333334,927.0
13,SAN JOAQUIN,CA,2.857142857142857,8.0,0.8571428571428571,1001.0
14,FRESNO,CA,2.4,7.0,0.8,1557.0
15,SAN MATEO,CA,3.8,7.0,1.0,1118.0
16,SANTA BARBARA,CA,3.75,6.0,0.75,809.0
17,SOLANO,CA,3.0,6.0,1.0,781.0
18,HUMBOLDT,CA,3.3333333333333335,5.0,1.0,165.0
19,STANISLAUS,CA,2.5,5.0,1.0,652.0
20,TULARE,CA,1.5,4.0,1.0,
21,SANTA CRUZ,CA,3.0,4.0,1.0,252.0
22,BUTTE,CA,2.75,4.0,1.0,575.0
23,MONTEREY,CA,3.5,4.0,1.0,326.0
24,SHASTA,CA,2.0,4.0,1.0,267.0
25,PLUMAS,CA,,3.0,,
26,PLACER,CA,4.0,3.0,1.0,735.0
27,MENDOCINO,CA,3.6666666666666665,3.0,1.0,152.0
28,NAPA,CA,3.5,3.0,0.5,352.0
29,MARIN,CA,4.0,3.0,1.0,520.0
30,SAN LUIS OBISPO,CA,2.6666666666666665,3.0,1.0,135.0
31,LAKE,CA,4.0,2.0,1.0,62.0
32,NEVADA,CA,3.0,2.0,1.0,124.0
33,MADERA,CA,1.0,2.0,0.0,454.0
34,INYO,CA,3.0,2.0,1.0,
35,IMPERIAL,CA,1.5,2.0,1.0,
36,MODOC,CA,,2.0,,26.0
37,MERCED,CA,2.0,2.0,1.0,234.0
38,YOLO,CA,3.5,2.0,1.0,170.0
39,EL DORADO,CA,4.0,2.0,1.0,171.0
40,SISKIYOU,CA,3.0,2.0,1.0,53.0
41,GLENN,CA,,1.0,,47.0
42,CALAVERAS,CA,3.0,1.0,0.0,25.0
43,YUBA,CA,1.0,1.0,1.0,173.0
44,MARIPOSA,CA,3.0,1.0,1.0,
45,DEL NORTE,CA,3.0,1.0,1.0,49.0
46,AMADOR,CA,4.0,1.0,1.0,84.0
47,TRINITY,CA,,1.0,,
48,COLUSA,CA,,1.0,,
49,KINGS,CA,2.0,1.0,1.0,199.0
50,MONO,CA,,1.0,,
51,SAN BENITO,CA,2.0,1.0,0.0,
52,TUOLUMNE,CA,3.0,1.0,0.0,143.0
53,SUTTER,CA,,1.0,,14.0
54,LASSEN,CA,4.0,1.0,1.0,38.0
55,TEHAMA,CA,3.0,1.0,1.0,76.0
0,HARRIS,TX,3.217391304347826,47.0,1.0,7569.0
1,DALLAS,TX,3.3125,30.0,0.9375,3868.0
2,TARRANT,TX,3.5625,26.0,0.9375,3366.0
3,BEXAR,TX,3.125,18.0,1.0,3377.0
4,TRAVIS,TX,4.0,17.0,1.0,2462.0
5,COLLIN,TX,3.3333333333333335,14.0,1.0,1000.0
6,DENTON,TX,3.4285714285714284,13.0,0.8571428571428571,618.0
7,EL PASO,TX,2.857142857142857,13.0,1.0,122.0
8,WILLIAMSON,TX,4.0,8.0,1.0,539.0
9,MONTGOMERY,TX,3.0,7.0,1.0,353.0
10,FORT BEND,TX,3.4,7.0,1.0,648.0
11,LUBBOCK,TX,3.0,6.0,1.0,941.0
12,HIDALGO,TX,3.4,6.0,1.0,530.0
13,CAMERON,TX,3.75,6.0,1.0,882.0
14,BELL,TX,3.6666666666666665,5.0,1.0,877.0
15,WICHITA,TX,4.5,5.0,0.5,565.0
16,BRAZOS,TX,3.6666666666666665,5.0,0.6666666666666666,435.0
17,SMITH,TX,4.25,4.0,1.0,1038.0
18,NUECES,TX,3.3333333333333335,4.0,0.6666666666666666,1249.0
19,HAYS,TX,4.0,4.0,1.0,315.0
